Transaction Hash,Instruction Index,Inner Instruction Index,Action,Status,Source,Source Association,Destination,Destination Association,Token Hash,Raw Amount,Timestamp,Time,Token Symbol,Token Decimals,Decimal Amount,Price Token Address,Price Timestamp,Token Price,Total USD Worth
FY6URsUkJbu267KeSZHp72H5p7WUxNb59vVdFUq98GsFVTaqEHP5DMn2x9AGDfWmxN3WiQzyUZtMhTZeUe7Lzhz,-1,-1,pay_tx_fees,Successful,5rWgrcKUfVSd3QvkqdMBPT1d7aeAJCsnZGhkLZYuFY2k,,,,,755432,1733416544,"Thu, 05 Dec 2024 16:35:44 GMT",,,755432,,,,
FY6URsUkJbu267KeSZHp72H5p7WUxNb59vVdFUq98GsFVTaqEHP5DMn2x9AGDfWmxN3WiQzyUZtMhTZeUe7Lzhz,2,3,createAccount,Successful,5rWgrcKUfVSd3QvkqdMBPT1d7aeAJCsnZGhkLZYuFY2k,,ZnBkd2ZNh8rgBpPYMULUJtUN9pum4itgoLe2dPrksyZ,,,2282880,1733416544,"Thu, 05 Dec 2024 16:35:44 GMT",,,2282880,,,,
FY6URsUkJbu267KeSZHp72H5p7WUxNb59vVdFUq98GsFVTaqEHP5DMn2x9AGDfWmxN3WiQzyUZtMhTZeUe7Lzhz,2,5,createAccount,Successful,5rWgrcKUfVSd3QvkqdMBPT1d7aeAJCsnZGhkLZYuFY2k,,HpUQQgxWXM8Jn2WhY3oHnEVCJuyLjZZ3bM55SgE52KRs,,,2324640,1733416544,"Thu, 05 Dec 2024 16:35:44 GMT",,,2324640,,,,
2EJJKbqfhFxQmattNjyC4KmbxgbudPqcc9xUddTUbH7aV8XKgkVMZgkMLCPpPD5taqkkNCaLpt295rkEftEiyReN,-1,-1,pay_tx_fees,Successful,7orgFWEBNCsqspUTX8AZurjRfHrgRYZiswm4ewqJmH9E,,,,,15000,1733416484,"Thu, 05 Dec 2024 16:34:44 GMT",,,15000,,,,
2EJJKbqfhFxQmattNjyC4KmbxgbudPqcc9xUddTUbH7aV8XKgkVMZgkMLCPpPD5taqkkNCaLpt295rkEftEiyReN,2,-1,transfer,Successful,7orgFWEBNCsqspUTX8AZurjRfHrgRYZiswm4ewqJmH9E,,5rWgrcKUfVSd3QvkqdMBPT1d7aeAJCsnZGhkLZYuFY2k,,,15000000,1733416484,"Thu, 05 Dec 2024 16:34:44 GMT",,,15000000,,,,
4dVjPRAvb2maFLRuUtTYPQuyt35GyL4uf694FsCBrboTxbViqdvhjADd5zbhZDpH6Mmyj69xKZU59hGw6doNxj9g,-1,-1,pay_tx_fees,Successful,C6J7N2voq1LJC1uDCUAmQtshDbwtqpT1u8MUiyx1BiTT,,,,,505000,1733221868,"Tue, 03 Dec 2024 10:31:08 GMT",,,505000,,,,
4dVjPRAvb2maFLRuUtTYPQuyt35GyL4uf694FsCBrboTxbViqdvhjADd5zbhZDpH6Mmyj69xKZU59hGw6doNxj9g,2,-1,transfer,Successful,C6J7N2voq1LJC1uDCUAmQtshDbwtqpT1u8MUiyx1BiTT,,5rWgrcKUfVSd3QvkqdMBPT1d7aeAJCsnZGhkLZYuFY2k,,2VXAhYCk2WuN3aLJbhYLRQjmhR6f75SbheegyrvzcvxG,1,1733221868,"Tue, 03 Dec 2024 10:31:08 GMT",UNKNOWN,,1,,,,
